scenario,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
kappa_sweep,hb,12,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10344074502636258,0.10460812454988343,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,13,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10337296823407091,0.1728965290847755,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,14,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10486223605710056,0.0840473034435066,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,15,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10340378932366431,0.11146698315238175,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,16,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10557577585099673,0.0762863295011207,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,17,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10882027516642843,0.08650193189152747,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,18,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10085097039444167,0.0745048775981611,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,hb,19,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.1094357734603619,0.13587499645404305,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,0,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019868022207692022,0.015268081977422692,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,1,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020067366516189816,0.022528149213309277,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,2,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019813964279022492,0.01644926718953826,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,3,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01955986447106506,0.024274802679236634,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,4,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019878282061310804,0.026047627416273453,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,5,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019677868612233612,0.019428075783370344,Gaussian with exact least-squares mini-batch mean/covariance
kappa_sweep,nag,6,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020410521261372844,0.028359627280937223,Gaussian with exact least-squares mini-batch mean/covariance
