beta,one_minus_beta,stability_cap,gamma,theorem33_drift_floor,stationary_hb_variance,jump_response_steps,block_switch_regret
0.5,0.5,0.0625,0.05,0.24999999999999994,0.040677966101695044,8,80.37175305903331
0.75,0.25,0.015625,0.0125,4.84,0.020071684587812128,16,164.9441797692458
0.9,0.09999999999999998,0.0024999999999999988,0.001999999999999999,210.2500000000002,0.008004212743547318,40,418.9408870167863
0.95,0.050000000000000044,0.0006250000000000011,0.0005000000000000009,3480.999999999988,0.004000512886262514,80,842.3606494123327
0.99,0.010000000000000009,2.5000000000000045e-05,2.000000000000004e-05,2235024.9999999916,0.0008000040188331782,401,4231.149591460102
0.995,0.0050000000000000044,6.250000000000011e-06,5.00000000000001e-06,35880099.999999866,0.0004000005086117167,802,8466.834168926549
0.999,0.0010000000000000009,2.5000000000000047e-07,2.000000000000004e-07,22485002499.999912,8.000005654068318e-05,4011,42353.57960796643
