beta,one_minus_beta,sgd_drift_noise_coefficient_without_sigma2,momentum_drift_noise_coefficient_without_sigma2,momentum_to_sgd_ratio
0.5,0.5,1.0000000000000002e-10,4.0000000000000007e-10,4.0
0.6,0.4,1.0000000000000002e-10,6.25e-10,6.249999999999999
0.7,0.30000000000000004,1.0000000000000002e-10,1.111111111111111e-09,11.111111111111109
0.8,0.19999999999999996,1.0000000000000002e-10,2.5000000000000017e-09,25.000000000000014
0.9,0.09999999999999998,1.0000000000000002e-10,1.0000000000000007e-08,100.00000000000006
0.95,0.050000000000000044,1.0000000000000002e-10,3.9999999999999935e-08,399.99999999999926
0.98,0.020000000000000018,1.0000000000000002e-10,2.4999999999999957e-07,2499.9999999999955
