beta,one_minus_beta,variation_budget,statistical_term,inertia_term,max_term,dominant_regime
0.5,0.5,1.0,34.19951893353393,0.04,34.19951893353393,statistical
0.5,0.5,10.0,158.74010519681988,4.0,158.74010519681988,statistical
0.5,0.5,100.0,736.806299728077,400.0,736.806299728077,statistical
0.5,0.5,1000.0,3419.951893353392,40000.0,40000.0,inertia
0.5,0.5,10000.0,15874.010519681984,4000000.0,4000000.0,inertia
0.7,0.30000000000000004,1.0,48.07498567691359,0.11111111111111106,48.07498567691359,statistical
0.7,0.30000000000000004,10.0,223.14431669405636,11.111111111111107,223.14431669405636,statistical
0.7,0.30000000000000004,100.0,1035.7441686512857,1111.1111111111106,1111.1111111111106,inertia
0.7,0.30000000000000004,1000.0,4807.4985676913575,111111.11111111108,111111.11111111108,inertia
0.7,0.30000000000000004,10000.0,22314.431669405632,11111111.111111108,11111111.111111108,inertia
0.8,0.19999999999999996,1.0,62.99605249474365,0.2500000000000001,62.99605249474365,statistical
0.8,0.19999999999999996,10.0,292.40177382128655,25.00000000000001,292.40177382128655,statistical
0.8,0.19999999999999996,100.0,1357.2088082974528,2500.000000000001,2500.000000000001,inertia
0.8,0.19999999999999996,1000.0,6299.6052494743635,250000.00000000012,250000.00000000012,inertia
0.8,0.19999999999999996,10000.0,29240.177382128648,25000000.00000001,25000000.00000001,inertia
0.9,0.09999999999999998,1.0,99.99999999999999,1.0000000000000004,99.99999999999999,statistical
0.9,0.09999999999999998,10.0,464.15888336127773,100.00000000000004,464.15888336127773,statistical
0.9,0.09999999999999998,100.0,2154.434690031883,10000.000000000004,10000.000000000004,inertia
0.9,0.09999999999999998,1000.0,9999.999999999995,1000000.0000000005,1000000.0000000005,inertia
0.9,0.09999999999999998,10000.0,46415.88833612777,100000000.00000004,100000000.00000004,inertia
0.95,0.050000000000000044,1.0,158.7401051968198,3.999999999999994,158.7401051968198,statistical
0.95,0.050000000000000044,10.0,736.8062997280766,399.9999999999994,736.8062997280766,statistical
0.95,0.050000000000000044,100.0,3419.95189335339,39999.999999999935,39999.999999999935,inertia
0.95,0.050000000000000044,1000.0,15874.010519681975,3999999.9999999935,3999999.9999999935,inertia
0.95,0.050000000000000044,10000.0,73680.62997280764,399999999.9999994,399999999.9999994,inertia
0.98,0.020000000000000018,1.0,292.4017738212863,24.999999999999954,292.4017738212863,statistical
0.98,0.020000000000000018,10.0,1357.2088082974517,2499.9999999999955,2499.9999999999955,inertia
0.98,0.020000000000000018,100.0,6299.605249474358,249999.99999999953,249999.99999999953,inertia
0.98,0.020000000000000018,1000.0,29240.177382128622,24999999.999999955,24999999.999999955,inertia
0.98,0.020000000000000018,10000.0,135720.88082974515,2499999999.999995,2499999999.999995,inertia
