route,method,seed,dimension,horizon,batch_size,kappa,drift_step_norm,beta,gamma,label_noise_variance,tail_squared_tracking_error,final_squared_tracking_error,oracle
raw_minibatch,hb,16,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10423993341856735,0.09056358306452782,literal Gaussian-design raw mini-batch
raw_minibatch,hb,17,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.0993149407593502,0.10115904852439261,literal Gaussian-design raw mini-batch
raw_minibatch,hb,18,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10121547561754334,0.07191598855129029,literal Gaussian-design raw mini-batch
raw_minibatch,hb,19,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.10731585002063727,0.10743116926952666,literal Gaussian-design raw mini-batch
raw_minibatch,nag,0,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.0197935067947709,0.018603093010882987,literal Gaussian-design raw mini-batch
raw_minibatch,nag,1,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020029860127790115,0.026571498215916377,literal Gaussian-design raw mini-batch
raw_minibatch,nag,2,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019941672313074116,0.01917368683829494,literal Gaussian-design raw mini-batch
raw_minibatch,nag,3,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01996496181504107,0.021886318714828514,literal Gaussian-design raw mini-batch
raw_minibatch,nag,4,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019799199745904435,0.017474281906760918,literal Gaussian-design raw mini-batch
raw_minibatch,nag,5,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01969195837672764,0.019458675694213497,literal Gaussian-design raw mini-batch
raw_minibatch,nag,6,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.020254480169396464,0.017432891230508743,literal Gaussian-design raw mini-batch
raw_minibatch,nag,7,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019760510386733064,0.020156952559733026,literal Gaussian-design raw mini-batch
raw_minibatch,nag,8,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019764674083109324,0.018817514856199192,literal Gaussian-design raw mini-batch
raw_minibatch,nag,9,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019763396970369912,0.014129240297644346,literal Gaussian-design raw mini-batch
raw_minibatch,nag,10,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01983359923780977,0.01491314132403035,literal Gaussian-design raw mini-batch
raw_minibatch,nag,11,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01981726632593776,0.019843909165290673,literal Gaussian-design raw mini-batch
raw_minibatch,nag,12,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019640549664582597,0.01796047309831053,literal Gaussian-design raw mini-batch
raw_minibatch,nag,13,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.019778785829031777,0.02985725495881124,literal Gaussian-design raw mini-batch
raw_minibatch,nag,14,50,5000,256,10.0,0.01,0.9,0.1,0.5,0.01992575507088613,0.020686717259560724,literal Gaussian-design raw mini-batch
