kappa,method,mean_tail_squared_tracking_error,sem_tail_squared_tracking_error,finite_trials
10.0,sgd,0.006774274879209239,1.0736761657335303e-05,20
10.0,hb,0.10311254198446358,0.0005860155344873155,20
10.0,nag,0.01986081127766361,3.216065776318433e-05,20
1000.0,sgd,0.007354443293244467,0.00028521741854256637,20
1000.0,hb,0.0018876510605580286,1.1770222109993643e-05,20
1000.0,nag,0.0014047421339041602,1.1252930741883862e-05,20
