beta,gamma,slow_mode_spectral_radius,slow_mode_half_life,kappa_over_one_minus_beta
0.5,0.0005,0.9989989969889549,692.1060114714518,20.0
0.9,1.999999999999999e-05,0.9997996386254707,3459.1384687204877,100.00000000000003
0.95,5.000000000000009e-06,0.9998998092553676,6917.928986923497,199.99999999999983
0.98,8.000000000000016e-07,0.9999599212879895,17294.300526982173,499.99999999999955
