beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.98,sgd,7,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025128694191256214,0.0023503255759658183
0.98,sgd,8,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00244772731150503,0.001970400516830473
0.98,sgd,9,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024808041715160714,0.002652703250480403
0.98,sgd,10,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024596154148734135,0.0015084900528699065
0.98,sgd,11,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025691468836785726,0.0024106059351233214
0.98,sgd,12,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00230906801828838,0.0024905031551847707
0.98,sgd,13,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00238288802656385,0.002400137555064343
0.98,sgd,14,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002403567809298004,0.002669320847892398
0.98,sgd,15,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002431836655063304,0.0023290723988002924
0.98,sgd,16,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002475421340868203,0.0022183210454524765
0.98,sgd,17,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023932489690119928,0.002162108078943501
0.98,sgd,18,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023000420971566976,0.002662094048340076
0.98,sgd,19,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023443722460604176,0.0024336393577894947
0.98,hb,0,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.29223543312204736,0.33292831031653364
0.98,hb,1,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2051499517530166,0.25271999572561604
0.98,hb,2,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24795488606222474,0.24903242536774547
0.98,hb,3,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.22042183313881142,0.2869453646361926
0.98,hb,4,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24479740698733057,0.2979585179919852
0.98,hb,5,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.23959073696522915,0.26423062559372185
0.98,hb,6,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.26172184303589024,0.3173476085672681
0.98,hb,7,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2092322404241971,0.25448186819696716
0.98,hb,8,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2208696863966241,0.29545194270313024
0.98,hb,9,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24923125441713692,0.292266298634171
0.98,hb,10,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24161566975682594,0.3028533344426386
0.98,hb,11,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.22089242489283933,0.2640544252030394
0.98,hb,12,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.19339055766854166,0.24290274673417658
0.98,hb,13,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.22411836032480115,0.2488432000923489
0.98,hb,14,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2818040641846795,0.3062990267104
0.98,hb,15,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24374952260454183,0.27345900191387934
0.98,hb,16,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.19085811388259888,0.23080382626990426
0.98,hb,17,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.3113442147929737,0.3577864431305329
0.98,hb,18,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.23894583185753349,0.2757715221928044
0.98,hb,19,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.19172362499833095,0.19427051763828088
0.98,nag,0,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.20984619334464338,0.24849761631292608
0.98,nag,1,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2369702464565469,0.25497436883048513
0.98,nag,2,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.26826003983921765,0.30612902695403466
0.98,nag,3,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.23583018939159162,0.221934518589723
0.98,nag,4,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.23094922525603562,0.272247718389968
0.98,nag,5,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2116821230524828,0.2510433115436019
0.98,nag,6,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2358257070562632,0.3027279185697324
0.98,nag,7,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.27416362328735916,0.3284462096026793
0.98,nag,8,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2623901161528075,0.33165017381683104
0.98,nag,9,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.1878216265694457,0.19976535542255128
0.98,nag,10,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.225871210217088,0.24466945735268852
0.98,nag,11,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2699628010060283,0.35787915942843906
0.98,nag,12,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.19293646930935304,0.22577324250688235
0.98,nag,13,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.24138552091232232,0.2839634207598126
0.98,nag,14,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2102756736938276,0.22287632304470203
0.98,nag,15,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.22000038207538014,0.25982028907530397
0.98,nag,16,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.21742459980375525,0.27854176322738633
0.98,nag,17,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.20135108213769348,0.25746981118095763
0.98,nag,18,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.2771653617962805,0.32577281642524947
0.98,nag,19,100,5000,1.0,10.0,10.0,0.01,0.02,8.000000000000016e-07,1.0000000000000019e-06,True,0.22743025288397006,0.260524622062798
