beta,method,seed,dimension,horizon,mu,smoothness,condition_number,drift_step_norm,noise_std,gamma,stability_cap,gamma_within_cap,tail_squared_tracking_error,final_squared_tracking_error
0.5,nag,2,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01925545988722011,0.017405305495342166
0.5,nag,3,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01899219409520809,0.015584754664677371
0.5,nag,4,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.016826404545641705,0.01852187378633328
0.5,nag,5,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01938509405510995,0.01799345044153115
0.5,nag,6,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.02017884556467808,0.018122287286417908
0.5,nag,7,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.021492470821785434,0.022093585471167417
0.5,nag,8,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01809895288852445,0.02442463996990763
0.5,nag,9,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.020148742888286345,0.017779181003298995
0.5,nag,10,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.02048941252707814,0.018270530536106375
0.5,nag,11,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.02297188366726557,0.018880836056704927
0.5,nag,12,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.018132804152072406,0.02282104202375961
0.5,nag,13,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.02143838981261682,0.02387674014719376
0.5,nag,14,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01881464970223174,0.01625383796032784
0.5,nag,15,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01740142492062597,0.023807096423054685
0.5,nag,16,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.018558635601795853,0.014021155622538592
0.5,nag,17,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.017890682086515133,0.019634886882656247
0.5,nag,18,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.018994582972115072,0.019110519630395867
0.5,nag,19,100,5000,1.0,10.0,10.0,0.01,0.02,0.0005,0.000625,True,0.01987536287767155,0.015456475977614664
0.9,sgd,0,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002379227136175345,0.002115131692907302
0.9,sgd,1,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023600399092038185,0.0024008195296760454
0.9,sgd,2,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002400845585853527,0.0022844422497241912
0.9,sgd,3,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023836400307894667,0.0021421398981444407
0.9,sgd,4,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024355876511871133,0.002439234521872354
0.9,sgd,5,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024030135219661433,0.002406003170367856
0.9,sgd,6,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025145480026100902,0.0028552538515983373
0.9,sgd,7,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025088246196236933,0.0024268422245681295
0.9,sgd,8,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002454121338574156,0.003119844876236381
0.9,sgd,9,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023772826664005004,0.0033637774523920193
0.9,sgd,10,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0025816890556385245,0.002423280430443812
0.9,sgd,11,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0024093366475856797,0.002618457458701339
0.9,sgd,12,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0022706954621506403,0.002217654899949234
0.9,sgd,13,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00232292007226163,0.002584562453034828
0.9,sgd,14,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023212597190804853,0.001675391657067292
0.9,sgd,15,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023915646162141714,0.0029966276869076588
0.9,sgd,16,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00231669644591724,0.0024662245284402706
0.9,sgd,17,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.0023891565560049378,0.0022944908969881835
0.9,sgd,18,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.002507638241806431,0.003265885706293617
0.9,sgd,19,100,5000,1.0,10.0,10.0,0.01,0.02,0.008,0.01,True,0.00242925622131985,0.002568294655301518
0.9,hb,0,100,5000,1.0,10.0,10.0,0.01,0.02,1.999999999999999e-05,2.4999999999999988e-05,True,0.08384431652372129,0.07414415483458016
